text,sentiment,aspect,polarity
"Re: Das Erste ""Ich fahre nicht mit der Bahn. Nach Erzählungen von Freunden, scheint es ein zentrales Problem zu sein. Es kann nicht sei, dass jemand in Hannover umsteigen muss, um in einen Zug , auch ohne Klimaanlage nach Berlin zu fahren. --- Es war aber bei dem letzten """"Hitzehoch"""". --- Das liegt am Hersteller.""",negative,Allgemein#Haupt:negative Atmosphäre#Temperatur:negative,-1
"#TelMi #telmi Laim: Fußgänger von S-Bahn erfasst und tödlich verletzt: München, 02.07.2015. Nach derzeitigem… http://t.co/YefcpWd7H4",negative,Sicherheit#Haupt:negative Sicherheit#Haupt:negative Sonstige_Unregelmässigkeiten#Haupt:negative,-1
"@KuttnerSarah @DB_Bahn Hund = Fahrgast, Hund in Box = Gepäck.skurril, oder?",negative,Gepäck#Haupt:negative,0
"Probleme bei der S-Bahn: Lokführer fehlen, Züge fahren nicht: Die S-Bahnen 2, 4 und 8 fallen reihenweise aus. ... http://t.co/KCOLM1rxht",negative,Allgemein#Haupt:negative Sonstige_Unregelmässigkeiten#Haupt:negative Sonstige_Unregelmässigkeiten#Haupt:negative,-1
ICE: Bahn will Gratis-WLAN für 2. Klasse bringen http://t.co/SVwc8657Sr via @AppyGeekGer,positive,Connectivity#WLAN_und_Internet:positive,0
Harte Maßnahmen nach Fan-#Randale: #Polizei will Bahn-Verbot für Ultras #Hannover https://t.co/ntHe5O5RY3 https://t.co/EquD7vVWlR,neutral,Allgemein#Haupt:neutral,-1
Betrunkene Fahrgäste hindern Syrer in #Berlin am Verlassen der S-Bahn: https://t.co/PwUhBHuYGM,negative,Atmosphäre#Haupt:negative,-1
Reise: Bald schneller mit der Bahn von Deutschland nach Paris Reise Bald schneller mit der Bahn von Deutschland nach Paris Weniger Reisezeit für Bahnfahrer: Sie kommen in 5 Stunden 40 Minuten von München nach Paris. Foto: Julian Stratenschulte Deutschland und,positive,Zugfahrt#Fahrtzeit_und_Schnelligkeit:positive Zugfahrt#Fahrtzeit_und_Schnelligkeit:positive Zugfahrt#Fahrtzeit_und_Schnelligkeit:positive,1
@DB_Bahn ist rausgebrochen. War plötzlich weg.,neutral,Allgemein#Haupt:neutral,0
"Friendsurance: Emnid-Umfrage: Die Bahn ist kundenfreundlich, Versicherungen nicht - Friendsurance.. https://t.co/FuArWr0fcL",positive,Service_und_Kundenbetreuung#Haupt:positive,1
"Bahn-Schlichtung : Warum denn nicht gleich so , Herr Weselsky ? : Überraschend geräuschlos haben die Schlichter im ... http://t.co/Pepe4Ff4yb",neutral,Allgemein#Haupt:neutral,1
Ich muss gleich irgendwo hin fahren . Muss erstmal die Bahn nehmen und dann Zug . Kann ich mit dem Bahn Ticket auch mit dem Zug fahren oder muss ich bezahlen ? Bei der Bahn fahren gewöhnlich Züge - oder was meinst du genau? Ich verstehe die Frage so nicht. gutefrage.net-Tag: Bahn gutefrage.net-Tag: Ticket,neutral,Allgemein#Haupt:neutral,1
"Re: LVZ Leipziger Volkszeitung Carsten Schulze, dass unser ÖPNV Netzt schlecht ausgebaut ist. Es kann ja nicht sein, dass ich für 17 Km mit mit dem Bus und Bahn 1 1/2 Stunden brauche. Wir haben weit über 4000 Mitarbeiter aber es fährt nur ein Einziger Bus von irgendwo zu meiner Arbeitsstelle. Warum kann man da nicht als ÖPNV ein Werksbus einrichten vom Zentrum zur Arbeitsstelle. Welcher halt zu den Schichtzeiten fährt. Dann würden bestimmt auch viel auf den Bus umsteigen, weil es einfach Billiger ist. Aber so fahre ich lieber mit dem Auto und stehe über eine Stunde später auf und bin über eine Stunde ehr zu Hause. Aber das verstehen die meisten Leute nicht. Es wird lieber auf die Autofahrer geschimpft.",neutral,Allgemein#Haupt:neutral,-1
@DB_Bahn oder so: ich habe jetzt 65€ bezahlt. 17€ für das falsche Ticket und 48€ im Zug für ein neues. Man zahlt also nicht die Differenz?,neutral,Allgemein#Haupt:neutral,-1
